id,zona,adultos,carrinhos,XESQ,XDIR,YCIMA,YBAIXO
S7,Entrada,0,0,0,0,0,0
C1_1,Nao sabe,0,0,0,0,0,0
C2,Nao sabe,0,0,0,0,0,0
C1_2,Nao sabe,0,0,0,0,0,0
C3,Nao sabe,0,0,0,0,0,0
S16,Nao sabe,0,0,0,0,0,0
S15,Nao sabe,0,0,0,0,0,0
C4_2,Nao sabe,0,0,0,0,0,0
S8,Nao sabe,0,0,0,0,0,0
C4_1,Nao sabe,0,0,0,0,0,0
S9,Nao sabe,0,0,0,0,0,0
C5_1,Nao sabe,0,0,0,0,0,0
S14,Nao sabe,0,0,0,0,0,0
C6_1,Nao sabe,0,0,0,0,0,0
S13,Nao sabe,0,0,0,0,0,0
C6_2,Nao sabe,0,0,0,0,0,0
S12,Nao sabe,0,0,0,0,0,0
S10,Nao sabe,0,0,0,0,0,0
C5_2,Nao sabe,0,0,0,0,0,0
S11,Nao sabe,0,0,0,0,0,0
